,primary_city,latitude,longitude
642,Atascadero,35.48,-120.64
643,Atascosa,29.28,-98.73
644,Atchison,39.56,-95.13
645,Atco,39.76,-74.85
646,Atglen,39.94,-75.97
647,Athelstane,45.43,-88.09
648,Athena,45.83,-118.51
649,Athens,45.03,-90.07
650,Atherton,37.44,-122.2
651,Athol,47.96,-116.68
652,Athol Springs,42.73,-78.84
653,Atka,52.23,-174.16
654,Atkins,41.99,-91.85
655,Atkinson,42.83,-71.14
656,Atlanta,45.0,-84.15
657,Atlantic,41.53,-80.27
658,Atlantic Beach,40.58,-73.71
659,Atlantic City,39.36,-74.42
660,Atlantic Highlands,40.4,-74.03
661,Atlantic Mine,47.09,-88.71
662,Atlas,42.92,-83.51
663,Atlasburg,40.39,-80.44
664,Atmore,31.02,-87.49
665,Atoka,35.44,-89.77
666,Atomic City,43.4,-112.83
667,Atqasuk,70.48,-157.39
668,Attalla,34.01,-86.1
669,Attapulgus,30.74,-84.47
670,Attica,43.03,-83.16
671,Attleboro,41.93,-71.29
672,Attleboro Falls,41.97,-71.3
673,Atwater,45.13,-94.77
674,Atwood,41.26,-85.97
675,Auberry,37.0,-119.15
676,Aubrey,34.71,-90.89
677,Auburn,47.31,-122.2
678,Auburndale,44.62,-90.01
679,Auburn Hills,42.67,-83.24
680,Auburntown,35.94,-86.09
681,Auburn University,32.6,-85.48
682,Audubon,46.86,-95.98
683,Au Gres,44.04,-83.69
684,Augusta,47.58,-112.6
685,Augusta Springs,38.1,-79.33
686,Auke Bay,58.3,-134.42
687,Aulander,36.22,-77.11
688,Ault,40.58,-104.73
689,Aultman,40.54,-79.22
690,Aumsville,44.82,-122.85
691,Aurelia,42.71,-95.43
692,Auriesville,42.87,-74.35
693,Aurora,47.53,-92.24
694,Au Sable Forks,44.47,-73.78
695,Austell,33.82,-84.64
696,Austerlitz,42.32,-73.47
697,Austin,43.67,-92.97
698,Austinburg,41.75,-80.85
699,Austinville,42.59,-92.96
700,Austwell,28.39,-96.84
701,Autaugaville,32.43,-86.65
702,Au Train,46.43,-86.83
703,Autryville,34.99,-78.64
704,Auxier,37.73,-82.75
705,Auxvasse,39.01,-91.89
706,Ava,43.41,-75.47
707,Avalon,42.65,-88.83
708,Avant,36.48,-96.06
709,Avawam,37.22,-83.27
710,Avella,40.28,-80.47
711,Avenal,35.92,-120.1
712,Avenel,40.58,-74.27
713,Avenue,38.27,-76.74
714,Avera,33.19,-82.52
715,Averill,45.0,-71.72
716,Averill Park,42.63,-73.55
717,Avery,47.17,-115.8
718,Avery Island,29.9,-91.91
719,Avila Beach,35.18,-120.76
720,Avilla,41.36,-85.23
721,Avinger,32.89,-94.55
722,Avis,41.18,-77.31
723,Aviston,38.6,-89.6
724,Avoca,43.94,-95.64
725,Avon,46.65,-112.6
726,Avon By The Sea,40.19,-74.01
727,Avondale,39.82,-75.78
728,Avondale Estates,33.76,-84.26
729,Avon Lake,41.49,-82.01
730,Avonmore,40.52,-79.47
731,Avon Park,27.59,-81.5
732,Awendaw,33.03,-79.61
733,Axis,30.92,-88.02
734,Axson,31.27,-82.73
735,Axtell,40.47,-99.12
736,Axton,36.66,-79.71
737,Ayden,35.47,-77.42
738,Aydlett,36.32,-75.9
739,Ayer,42.56,-71.58
740,Aylett,37.77,-77.12
741,Aynor,33.99,-79.2
742,Ayr,47.04,-97.49
743,Ayrshire,43.04,-94.83
744,Azalea,42.78,-123.12
745,Azalia,42.01,-83.66
746,Azle,32.89,-97.53
747,Aztec,36.82,-108.0
748,Azusa,34.17,-117.87
749,Babb,48.78,-113.37
750,Babbitt,47.64,-91.94
751,Babcock,44.29,-90.13
752,Babson Park,42.29,-71.26
753,Babylon,40.69,-73.32
754,Backus,46.82,-94.51
755,Bacliff,29.5,-94.99
756,Baconton,31.37,-84.16
757,Bacova,38.01,-79.9
758,Bad Axe,43.8,-82.99
759,Baden,40.63,-80.22
760,Badger,48.77,-96.02
761,Badin,35.4,-80.11
762,Bagdad,38.26,-85.05
763,Baggs,41.03,-107.65
764,Bagley,47.52,-95.4
765,Bagwell,33.82,-95.14
766,Bahama,36.17,-78.88
767,Bailey,43.27,-85.81
768,Bailey Island,43.73,-69.99
769,Baileys Harbor,45.06,-87.12
770,Baileyton,34.26,-86.61
771,Baileyville,45.09,-67.46
772,Bainbridge,42.29,-75.48
773,Bainbridge Island,47.64,-122.53
774,Bainville,48.17,-104.27
775,Baird,32.39,-99.39
776,Bairdford,40.54,-79.83
777,Bairoil,42.23,-107.55
778,Baisden,37.58,-81.94
779,Bajadero,18.4,-66.66
780,Baker,46.28,-104.28
781,Baker City,44.81,-117.74
782,Bakersfield,44.78,-72.8
783,Bakers Mills,43.61,-74.07
784,Bakerstown,40.64,-79.93
785,Bakersville,40.35,-81.63
786,Bakerton,39.36,-77.76
787,Bakewell,35.39,-85.11
788,Bala Cynwyd,40.01,-75.22
789,Balaton,44.23,-95.87
790,Balch Springs,32.76,-96.59
791,Bald Knob,35.3,-91.57
792,Baldwin,46.97,-100.75
793,Baldwin City,38.77,-95.18
794,Baldwin Park,34.09,-117.96
795,Baldwin Place,41.32,-73.74
796,Baldwinsville,43.15,-76.33
797,Baldwinville,42.6,-72.07
798,Baldwyn,34.5,-88.63
799,Balfour,47.95,-100.53
800,Balko,36.63,-100.68
801,Ball,31.41,-92.41
802,Ballantine,45.89,-108.09
803,Ballard,37.51,-80.75
804,Ballentine,34.14,-81.06
805,Ball Ground,34.33,-84.37
806,Ballico,37.47,-120.65
807,Ballinger,31.74,-99.95
808,Ballouville,41.87,-71.86
809,Ballston Lake,42.92,-73.84
810,Ballston Spa,43.0,-73.85
811,Ballwin,38.59,-90.55
812,Bally,40.4,-75.58
813,Balm,27.76,-82.26
814,Balmorhea,30.98,-103.74
815,Balsam,35.42,-83.08
816,Balsam Grove,35.22,-82.87
817,Balsam Lake,45.45,-92.45
818,Balta,48.16,-100.03
819,Baltic,43.75,-96.73
820,Baltimore,39.84,-82.6
821,Bamberg,33.29,-81.03
822,Banco,38.4,-78.33
823,Bancroft,44.31,-89.51
824,Bandana,37.14,-88.94
825,Bandera,29.72,-99.07
826,Bandon,43.05,-124.36
827,Bandy,37.14,-81.7
828,Bangall,41.87,-73.69
829,Bangor,44.83,-68.78
830,Bangs,31.71,-99.13
831,Banks,45.66,-123.15
832,Bankston,33.7,-87.68
833,Banner,44.63,-106.8
834,Banner Elk,36.16,-81.87
835,Banning,33.92,-116.83
836,Bannister,43.13,-84.42
837,Bannock,40.07,-81.06
838,Banquete,27.85,-97.79
839,Bantam,41.72,-73.24
840,Bantry,48.49,-100.6
841,Bapchule,33.12,-111.9
842,Baptistown,40.49,-75.0
