MSA ID,MSA Name,State, No. of Children in Core Sample ,Relative Mobility Rank-Rank Slope,Absolute Upward Mobility
44940,Sumter, SC," 4,588 ",0.390,36.4
45060,Syracuse, NY," 24,608 ",0.375,41.3
45220,Tallahassee, FL," 11,105 ",0.378,36.8
45300,Tampa-St. Petersburg-Clearwater, FL," 64,012 ",0.335,39.1
45460,Terre Haute, IN," 6,541 ",0.373,41.8
45500,Texarkana, TX-AR," 5,935 ",0.384,39.1
45540,The Villages, FL," 1,251 ",0.378,37.6
45780,Toledo, OH," 23,721 ",0.386,38.0
45820,Topeka, KS," 9,333 ",0.348,42.6
45940,Trenton, NJ," 10,670 ",0.401,39.4
46060,Tucson, AZ," 26,125 ",0.305,39.0
46140,Tulsa, OK," 33,456 ",0.344,41.3
46220,Tuscaloosa, AL," 7,558 ",0.415,37.3
46340,Tyler, TX," 6,806 ",0.360,41.3
46520,Urban Honolulu, HI," 27,530 ",0.232,44.8
46540,Utica-Rome, NY," 11,093 ",0.351,43.8
46660,Valdosta, GA," 4,318 ",0.409,36.0
46700,Vallejo-Fairfield, CA," 15,017 ",0.257,42.8
47020,Victoria, TX," 4,139 ",0.364,43.6
47220,Vineland-Bridgeton, NJ," 5,448 ",0.400,39.1
47260,Virginia Beach-Norfolk-Newport News, VA-NC," 57,888 ",0.389,38.0
47300,Visalia-Porterville, CA," 14,410 ",0.285,42.1
47380,Waco, TX," 9,003 ",0.404,39.1
47460,Walla Walla, WA," 2,144 ",0.277,43.8
47580,Warner Robins, GA," 5,926 ",0.357,37.3
47900,Washington-Arlington-Alexandria, DC-VA-MD-WV," 150,759 ",0.330,43.1
47940,Waterloo-Cedar Falls, IA," 6,432 ",0.364,46.4
48060,Watertown-Fort Drum, NY," 4,405 ",0.363,43.2
48140,Wausau, WI," 5,049 ",0.255,49.9
48260,Weirton-Steubenville, WV-OH," 5,087 ",0.410,41.0
48300,Wenatchee, WA," 3,859 ",0.266,45.0
48540,Wheeling, WV-OH," 5,641 ",0.347,44.9
48620,Wichita, KS," 23,067 ",0.329,41.6
48660,Wichita Falls, TX," 5,581 ",0.328,43.9
48700,Williamsport, PA," 4,485 ",0.359,45.4
48900,Wilmington, NC," 6,124 ",0.350,35.9
49020,Winchester, VA-WV," 3,834 ",0.362,41.3
49180,Winston-Salem, NC," 18,077 ",0.400,36.2
49340,Worcester, MA-CT," 28,848 ",0.334,43.7
49420,Yakima, WA," 8,712 ",0.304,42.9
49620,York-Hanover, PA," 13,433 ",0.363,44.2
49660,Youngstown-Warren-Boardman, OH-PA," 22,349 ",0.394,40.5
49700,Yuba City, CA," 5,143 ",0.269,43.6
49740,Yuma, AZ," 5,447 ",0.241,44.0
