zipcode,state,avg_income
5086,VT,49307
5089,VT,60024
5091,VT,113501
5101,VT,46510
5142,VT,50279
5143,VT,57030
5146,VT,57462
5148,VT,67264
5149,VT,58138
5150,VT,43513
5151,VT,61223
5152,VT,86057
5153,VT,47435
5154,VT,61667
5155,VT,55808
5156,VT,50448
5158,VT,39964
5161,VT,108193
5201,VT,47053
5250,VT,66689
5251,VT,113118
5252,VT,46400
5253,VT,67844
5255,VT,93717
5257,VT,56828
5260,VT,68150
5261,VT,48846
5262,VT,63608
5301,VT,57860
5340,VT,81104
5341,VT,58319
5342,VT,49552
5343,VT,47130
5345,VT,58791
5346,VT,66534
5350,VT,50448
5352,VT,64187
5353,VT,54378
5354,VT,58883
5355,VT,48380
5356,VT,46052
5358,VT,49863
5359,VT,55503
5360,VT,51290
5361,VT,56951
5362,VT,69887
5363,VT,51145
5401,VT,65671
5403,VT,90902
5404,VT,47458
5408,VT,66159
5440,VT,49173
5441,VT,55652
5442,VT,44088
5443,VT,59895
5444,VT,65166
5445,VT,163858
5446,VT,73776
5448,VT,60998
5450,VT,52842
5452,VT,75212
5454,VT,70233
5455,VT,65114
5456,VT,71153
5457,VT,55528
5458,VT,76608
5459,VT,48048
5461,VT,82510
5462,VT,75631
5463,VT,55428
5464,VT,58874
5465,VT,89407
5468,VT,61995
5471,VT,51220
5472,VT,68724
5473,VT,69280
5474,VT,79224
5476,VT,40771
5477,VT,87911
5478,VT,58495
5482,VT,160071
5483,VT,54278
5486,VT,90035
5487,VT,55787
5488,VT,58788
5489,VT,84900
5491,VT,60885
5492,VT,48611
5494,VT,81722
5495,VT,94546
5602,VT,70410
5641,VT,56051
5647,VT,48186
5648,VT,63465
5649,VT,52192
5650,VT,64249
5651,VT,72381
5652,VT,41406
5653,VT,44395
5654,VT,47554
5655,VT,58319
5656,VT,46654
5658,VT,53636
5660,VT,81442
5661,VT,62890
5663,VT,57533
5667,VT,53321
5669,VT,50226
5672,VT,148474
5673,VT,89074
5674,VT,89386
5675,VT,50194
5676,VT,67556
5677,VT,96117
5679,VT,51286
5680,VT,48727
5681,VT,49547
5682,VT,63892
5701,VT,55885
5730,VT,62195
5732,VT,56443
5733,VT,53684
5734,VT,57159
5735,VT,56996
5736,VT,66196
5737,VT,61791
5738,VT,68974
5739,VT,49968
5742,VT,57087
5743,VT,47816
5744,VT,57222
5747,VT,38815
5748,VT,40175
5751,VT,77277
5753,VT,84477
5757,VT,61068
5758,VT,47950
5759,VT,54459
5760,VT,56407
5761,VT,56794
5762,VT,65278
5763,VT,63345
5764,VT,49424
5765,VT,52253
5767,VT,56986
5769,VT,54070
5770,VT,58214
5772,VT,53703
5773,VT,58639
5774,VT,51570
5775,VT,51273
5776,VT,40057
5777,VT,51317
5778,VT,47733
5819,VT,52047
5820,VT,41323
5821,VT,65929
5822,VT,45674
5824,VT,45198
5826,VT,51169
5827,VT,56627
5828,VT,65693
5829,VT,54147
5830,VT,42556
5832,VT,57878
5836,VT,47616
5837,VT,41723
5839,VT,46233
5841,VT,85544
5842,VT,37163
5843,VT,43920
5845,VT,42463
5846,VT,42849
5847,VT,38417
5850,VT,39620
5851,VT,47405
5853,VT,54404
5855,VT,50076
5857,VT,46570
5858,VT,38750
5859,VT,43797
5860,VT,44019
5862,VT,81010
5866,VT,41690
5867,VT,51435
5868,VT,47076
5871,VT,45635
5872,VT,42508
5873,VT,53491
5874,VT,44393
5875,VT,42682
5903,VT,50474
5904,VT,33254
5905,VT,48525
5906,VT,42162
6001,CT,188390
6002,CT,78219
6010,CT,60289
6013,CT,120272
6016,CT,72239
6018,CT,51177
6019,CT,120635
6021,CT,82442
6023,CT,89861
6024,CT,52119
6026,CT,96213
6027,CT,86254
6029,CT,97041
6031,CT,90432
6032,CT,141599
6033,CT,135999
6035,CT,102594
6037,CT,91401
6039,CT,131299
6040,CT,63515
6042,CT,63606
6043,CT,96589
6051,CT,32749
6052,CT,56872
6053,CT,44860
6057,CT,95697
6058,CT,86492
6060,CT,147168
6062,CT,63622
6063,CT,84160
6065,CT,76950
6066,CT,65921
6067,CT,90945
6068,CT,128104
6069,CT,175493
6070,CT,140846
6071,CT,105347
6073,CT,211508
6074,CT,103844
6076,CT,66173
6078,CT,128719
6081,CT,66804
6082,CT,64148
6084,CT,106546
6085,CT,105174
6088,CT,64564
6089,CT,130747
6090,CT,160539
6092,CT,198797
6093,CT,101098
6095,CT,70175
6096,CT,62050
6098,CT,57510
6103,CT,118496
6105,CT,53987
6106,CT,33886
6107,CT,163978
6108,CT,41643
6109,CT,86640
6110,CT,61918
6111,CT,74043
6112,CT,31087
6114,CT,32503
6117,CT,193512
6118,CT,51348
6119,CT,95154
6120,CT,25901
6226,CT,36587
6231,CT,104783
6232,CT,84670
6234,CT,67824
6235,CT,60213
6237,CT,88335
6238,CT,83441
6239,CT,54372
6241,CT,65037
6242,CT,77961
6243,CT,50378
6247,CT,70025
6248,CT,104290
6249,CT,75160
6250,CT,80296
6254,CT,75294
6255,CT,60265
6256,CT,51675
6259,CT,90826
6260,CT,52678
6262,CT,49853
6264,CT,67053
6266,CT,56672
6268,CT,90160
6277,CT,72502
6278,CT,71695
6279,CT,77602
6280,CT,62888
6281,CT,91699
6282,CT,75864
6320,CT,43106
6330,CT,59345
6331,CT,66272
6333,CT,121049
6334,CT,70554
6335,CT,83429
6339,CT,75172
6340,CT,62654
6351,CT,62040
6353,CT,47142
6354,CT,53631
6355,CT,107029
6357,CT,90117
6359,CT,86123
6360,CT,48533
6365,CT,72606
6370,CT,73819
6371,CT,146484
6374,CT,55881
6375,CT,71860
6377,CT,63533
6378,CT,142697
6379,CT,75571
6380,CT,37280
6382,CT,57202
6384,CT,68716
6385,CT,84331
6389,CT,58984
6401,CT,51072
6403,CT,78578
6405,CT,97293
6409,CT,69930
6410,CT,114319
6412,CT,98445
6413,CT,86009
6415,CT,82728
6416,CT,101020
6417,CT,81680
6418,CT,55772
6419,CT,109694
6420,CT,95080
6422,CT,121382
6423,CT,94273
6424,CT,86939
6426,CT,187014
6437,CT,145679
6438,CT,102609
6441,CT,99321
6442,CT,95496
6443,CT,164168
6447,CT,111005
6450,CT,53807
6451,CT,50304
6455,CT,92328
6457,CT,68486
6460,CT,88154
6461,CT,90423
6468,CT,108091
6469,CT,74327
6470,CT,147482
6471,CT,80492
6472,CT,89730
6473,CT,92211
6475,CT,115808
6477,CT,123175
6478,CT,96715
6479,CT,80446
6480,CT,90262
6481,CT,81498
6482,CT,118621
6483,CT,70920
