zip,cbsa
37307,17420
37874,99999
37874,11940
37874,28940
37846,99999
37846,28940
37846,11940
37419,16860
37408,16860
38112,32820
38101,32820
25314,16620
26134,99999
26234,99999
26320,17220
26320,99999
24901,99999
24934,99999
25043,16620
25043,99999
25234,99999
24966,99999
38315,99999
38315,27180
38375,99999
38379,99999
38308,27180
38341,99999
38135,32820
38240,46460
38240,20540
38232,46460
25813,13220
25958,99999
25625,34350
38551,18260
38551,99999
26362,99999
41039,32500
41039,99999
41048,17140
40958,33180
41719,99999
41832,99999
40504,30460
40203,31140
40207,31140
40212,31140
40213,31140
40242,31140
40004,12680
41267,99999
41332,99999
42156,23980
44103,17460
44149,17460
44041,11780
44041,17460
44035,17460
43460,45780
43542,45780
42437,99999
42441,99999
42441,31580
43557,45780
43557,99999
44301,10420
44813,34540
44813,31900
44813,18140
45877,30620
45877,99999
45877,22300
44629,35420
45807,99999
45807,30620
43074,18140
45243,17140
45417,19430
45144,99999
45144,17140
43311,13340
43315,18140
43315,32020
45311,99999
45012,17140
45068,19430
45068,48940
45068,17140
45064,99999
45064,17140
45764,18140
45764,11900
45745,99999
45745,31930
46324,16980
46634,43780
46107,26900
46106,26900
46069,23140
46069,99999
46069,26900
46514,21140
46765,23060
46774,23060
46808,23060
45773,31930
46773,19540
46773,23060
47639,21780
47639,99999
48036,19820
48014,19820
48022,19820
47429,14020
47432,27540
47432,99999
47040,99999
47040,17140
47135,31140
47118,99999
46936,29020
46936,37940
46936,99999
47003,17140
47882,45460
47837,45460
47874,45460
47952,45460
47952,99999
47338,99999
47338,34620
47357,39980
47357,18220
47353,17140
48085,19820
49269,27100
49238,33780
49238,10300
49256,10300
48308,19820
48460,40980
48460,22420
48460,29620
48462,22420
48462,19820
48212,19820
48218,19820
49103,35660
50212,11180
50143,37800
50143,36820
50601,47940
50601,99999
50647,47940
50682,99999
50014,11180
50035,19780
49913,26340
50008,99999
50060,99999
50118,19780
50070,19780
50070,99999
49683,99999
49683,45900
49683,15620
49441,34740
49781,99999
49743,99999
49838,99999
51455,16140
51455,99999
51019,43580
51019,99999
51350,99999
52726,34700
52726,19340
57445,10100
57445,99999
57223,47980
57223,99999
57317,99999
52349,16300
57005,43620
52101,99999
51566,36540
51566,99999
51649,36540
51649,99999
51575,36540
58568,99999
53083,43100
53215,33340
69101,35820
68404,30700
68404,13100
68401,99999
68301,13100
68301,99999
68301,30700
68417,99999
53142,16980
68769,99999
68769,35740
68719,99999
68790,99999
53507,31540
54466,99999
54466,49220
54812,99999
53920,99999
53538,48020
53538,27500
53581,99999
54720,20740
55417,33460
55803,20260
55372,33460
55056,33460
55127,33460
55315,33460
58005,22020
58249,99999
58271,99999
56314,41060
56314,99999
56178,99999
56178,32140
56121,21860
56137,49380
56137,99999
