zipcode,state,total_pop,avg_income
72016,AR,1210,57082.64
72017,AR,230,43078.26
72019,AR,11950,76228.37
72020,AR,1320,43808.33
72021,AR,1440,42497.92
72022,AR,7630,60282.7
72023,AR,15440,63000.78
72024,AR,1420,53713.38
72025,AR,310,48209.68
72026,AR,140,40692.86
72027,AR,510,48445.1
72029,AR,680,39500.0
72030,AR,230,40647.83
72031,AR,2690,45889.22
72032,AR,13560,51212.76
72034,AR,19990,68267.43
72036,AR,230,31213.04
72039,AR,880,46312.5
72040,AR,990,47948.48
72041,AR,500,45824.0
72042,AR,1920,51525.0
72044,AR,340,54750.0
72045,AR,460,63121.74
72046,AR,1570,48674.52
72047,AR,430,53186.05
72051,AR,210,40123.81
72055,AR,340,52567.65
72057,AR,400,53735.0
72058,AR,7190,63829.9
72060,AR,240,39500.0
72061,AR,180,48322.22
72063,AR,600,56020.0
72064,AR,980,51228.57
72065,AR,2240,58737.05
72067,AR,1020,53866.67
72068,AR,200,35930.0
72069,AR,480,41291.67
72070,AR,630,48250.79
72072,AR,180,41705.56
72073,AR,470,41936.17
72076,AR,15610,42926.27
72079,AR,310,48667.74
72080,AR,220,46895.45
72081,AR,2830,44183.75
72082,AR,600,30358.33
72084,AR,400,45765.0
72086,AR,4290,51945.45
72087,AR,670,55689.55
72088,AR,880,52480.68
72101,AR,1230,47247.97
72102,AR,1040,46230.77
72103,AR,5510,44479.67
72104,AR,8530,46324.74
72106,AR,2270,53522.47
72110,AR,4450,52876.18
72111,AR,530,55252.83
72112,AR,3390,44567.55
72113,AR,11770,75270.26
72114,AR,3900,31596.67
72116,AR,10240,74643.95
72117,AR,5720,36195.8
72118,AR,9420,42179.72
72120,AR,15830,64166.27
72121,AR,980,48501.02
72122,AR,510,84201.96
72125,AR,340,39044.12
72126,AR,1380,50826.09
72127,AR,900,50893.33
72128,AR,340,47797.06
72129,AR,550,54520.0
72130,AR,160,44037.5
72131,AR,1810,51992.27
72132,AR,1480,54845.27
72134,AR,170,51188.24
72135,AR,1250,113728.0
72136,AR,670,51046.27
72137,AR,930,45952.69
72140,AR,110,46581.82
72141,AR,160,36237.5
72142,AR,1090,68576.15
72143,AR,12760,58798.9
72150,AR,5060,58284.19
72152,AR,170,37011.76
72153,AR,870,47068.97
72156,AR,230,54400.0
72157,AR,590,47391.53
72160,AR,4220,58545.26
72167,AR,690,46072.46
72168,AR,100,39400.0
72173,AR,3960,60230.81
72175,AR,130,34692.31
72176,AR,3650,49769.59
72179,AR,190,44731.58
72181,AR,120,56008.33
72201,AR,570,151580.7
72202,AR,4400,71210.91
72204,AR,11910,34452.73
72205,AR,10480,65458.21
72206,AR,9020,41970.73
